iac_type,resource_type,misconfiguration,severity,description,remediation
terraform,aws_s3_bucket,public access enabled,critical,"S3 bucket allows public access","Set block_public_acls = true, block_public_policy = true"
terraform,aws_security_group,ingress 0.0.0.0/0:22,high,"SSH exposed to internet","Restrict to specific IP ranges or use VPN"
terraform,aws_iam_policy,Action = *,high,"IAM policy allows all actions","Follow least privilege principle"
terraform,aws_rds_instance,publicly_accessible = true,high,"RDS instance publicly accessible","Set publicly_accessible = false"
terraform,azurerm_storage_account,enable_https_traffic_only = false,high,"Storage account allows HTTP","Set enable_https_traffic_only = true"
cloudformation,AWS::S3::Bucket,missing encryption,high,"S3 bucket without encryption","Add BucketEncryption configuration"
cloudformation,AWS::EC2::SecurityGroup,ingress 0.0.0.0/0,high,"Security group too permissive","Restrict CidrIp to specific ranges"
cloudformation,AWS::RDS::DBInstance,StorageEncrypted = false,high,"RDS without encryption","Set StorageEncrypted: true"
kubernetes,Pod,privileged: true,critical,"Pod running in privileged mode","Set privileged: false in securityContext"
kubernetes,Pod,hostNetwork: true,high,"Pod using host network","Set hostNetwork: false"
kubernetes,Service,type: LoadBalancer without IP whitelist,medium,"Service exposed without IP restrictions","Use loadBalancerSourceRanges"
kubernetes,Secret,data in base64 only,medium,"Secret not encrypted at rest","Enable encryption at rest in etcd"
docker,FROM,using :latest tag,medium,"Using latest tag is not reproducible","Pin to specific version tags"
docker,USER,running as root,high,"Container running as root user","Add USER non-root-user"
docker,COPY,adding sensitive files,high,"Sensitive files in image","Use .dockerignore to exclude secrets"
ansible,become,become: yes without user,medium,"Privilege escalation without specifying user","Add become_user: specific-user"
ansible,shell,shell with user input,critical,"Shell command with variables","Use command or validate input strictly"
helm,Deployment,missing resource limits,medium,"Container without resource limits","Add resources.limits in values"
