language,file_extensions,security_focus,common_frameworks,package_manager
kotlin,.kt;.kts,"SQL injection, deserialization, insecure crypto","Spring Boot, Ktor, Android SDK",gradle
swift,.swift,"insecure storage, weak crypto, memory safety","SwiftUI, UIKit, Vapor",swift package manager
rust,.rs,"unsafe code, memory issues, crypto misuse","Rocket, Actix, Tokio",cargo
scala,.scala,"SQL injection, deserialization, type safety","Play, Akka, Spark",sbt
elixir,.ex;.exs,"injection, auth bypass, session issues","Phoenix, Plug, Ecto",mix
haskell,.hs,"type confusion, IO safety, crypto issues","Yesod, Servant, Scotty",cabal
dart,.dart,"XSS, injection, insecure storage","Flutter, Aqueduct, Angel",pub
lua,.lua,"injection, eval, insecure require","OpenResty, Lapis, Kong",luarocks
r,.r,.R,"injection, deserialization, code execution","Shiny, Plumber, Rserve",CRAN
julia,.jl,"code injection, unsafe eval, metaprogramming","Genie, HTTP.jl, DifferentialEquations.jl",Pkg
perl,.pl;.pm,"injection, eval, taint mode bypass","Catalyst, Dancer, Mojolicious",cpan
solidity,.sol,"reentrancy, overflow, access control","Hardhat, Truffle, OpenZeppelin",npm
terraform,.tf;.tfvars,"credential exposure, privilege escalation, misconfiguration","AWS, Azure, GCP modules",terraform
dockerfile,Dockerfile;.dockerfile,"privilege escalation, secret exposure, supply chain","Docker, Kubernetes, Compose",docker
kubernetes,.yaml;.yml,"RBAC bypass, privilege escalation, secret exposure","Helm, Kustomize, Operators",kubectl
ansible,.yml;.yaml,"command injection, privilege escalation, insecure variables","Ansible Galaxy, AWX, Tower",ansible-galaxy
cloudformation,.yaml;.yml;.json,"IAM misconfiguration, resource exposure, injection","AWS SAM, CDK, StackSets",aws cli
