language,pattern,vulnerability,severity,description
javascript,"db.query(`.*\\$\\{.*\\}`)",sql-injection,critical,"SQL query with template literal interpolation"
javascript,"db.query\\(.*\\+.*\\)",sql-injection,critical,"SQL query with string concatenation"
javascript,"\\.innerHTML\\s*=\\s*(?!`<)",xss,high,"Direct innerHTML assignment without sanitization"
javascript,"eval\\(",code-injection,critical,"Use of eval() function"
javascript,"exec\\(`.*\\$\\{.*\\}`)",command-injection,critical,"Command execution with template literal"
javascript,"crypto\\.createHash\\(['\"]md5['\"]\\)",weak-crypto,high,"Use of MD5 hashing algorithm"
javascript,"Math\\.random\\(\\)",weak-random,medium,"Use of Math.random() for security purposes"
python,"execute\\(.*f['\"]",sql-injection,critical,"SQL query with f-string"
python,"execute\\(.*\\%",sql-injection,critical,"SQL query with % formatting"
python,"os\\.system\\(",command-injection,critical,"Use of os.system()"
python,"pickle\\.loads\\(",deserialization,critical,"Unsafe pickle deserialization"
python,"eval\\(",code-injection,critical,"Use of eval() function"
python,"hashlib\\.md5\\(",weak-crypto,high,"Use of MD5 hashing"
php,"mysqli_query\\(.*\\$",sql-injection,critical,"SQL query with variable interpolation"
php,"\\$_(GET|POST|REQUEST)\\[",xss,high,"Unsanitized user input from superglobals"
php,"eval\\(",code-injection,critical,"Use of eval() function"
php,"md5\\(",weak-crypto,high,"Use of MD5 for password hashing"
php,"unserialize\\(",deserialization,critical,"Unsafe deserialization"
